Business Name,Tier,Business Type,Street Address,Zip,Neighborhood,Phone,Website,Owner or Manager Full Name,Owner Title,Owner Email,General or Info Email,Instagram Handle,Staff Count,Staff Count Source,Booking Software,Booking Software Source,Google Rating,Google Review Count,Multi Location,Notes
Allure Lash Bar,,lash and brow,"233 E Erie St, Ste 100",60611,Streeterville / Gold Coast,(872) 215-6475,http://www.allurelashbar.com,,,,,,,unverified,vagaro,https://www.vagaro.com/googlemap/U2FsdGVkX1~GFt87yYZD-BwGGw2AQzhTvwiMza9pboY=/services?rwg_token=AE37R_htaftOpAXP9bks1mvSfT9UQlr6VPsZfeVcVtWL_DO8KNiWLRLqccKp0m9w5mZANEBRZma-WwkZbtmfhEJ3bCUK9TRq4w%3D%3D,4.4,13,no,
Amazing Lash Studio,,lash and brow,334 E Ohio St,60611,Streeterville / Gold Coast,(872) 228-5274,https://www.amazinglashstudio.com/studios/il/chicago/chicago-streeterville,,,,chicagostreeterville@amazinglashstudio.com,@amazinglashchicago,,unverified,unknown,https://www.amazinglashstudio.com/studios/il/chicago/chicago-streeterville,4.1,200,yes (150+),Actively hiring (Careers page live).
Amyrkl Spa & Designs,,lash and brow,"875 N Michigan Ave, Ste 3100",60611,Streeterville / Gold Coast,(872) 213-9632,,,,,,,,unverified,unknown,https://www.yelp.com/biz/amyrkl-spa-and-designs-chicago,,,no,
Anastasia Brow Studio,,lash and brow,55 E Grand Ave,60611,Streeterville / Gold Coast,(312) 464-1515,,,,,,,,unverified,unknown,https://www.yelp.com/biz/anastasia-brow-studio-chicago,,,no,
Anna Salon & Spa,,lash and brow,"835 N Michigan Ave, FL 4",60611,Streeterville / Gold Coast,(312) 894-6296,,,,,,,,unverified,unknown,https://www.yelp.com/biz/anna-salon-and-spa-chicago,,,no,Yelp specialties mention plans to open a new location.
Bedazzled Nails and Spa,,nails,221 E Grand Ave,60611,Streeterville / Gold Coast,(312) 631-3100,http://www.bedazzlednailsandspa.com,,,,,@bedazzlednailsandspa,,unverified,unknown,http://www.bedazzlednailsandspa.com/,4.2,644,no,Strong review base (644 Google reviews)
Beths Skin Clinic,,beauty and wellness,"233 E Erie St, Ste 202",60611,Streeterville / Gold Coast,(312) 488-1917,,,,,,,,unverified,unknown,https://www.yelp.com/biz/beths-skin-clinic-chicago,,,no,
Better You Wellness,,beauty and wellness,"605 N Michigan, Ste Fl 4",60611,Streeterville / Gold Coast,(312) 975-2648,,,,,,,,unverified,unknown,https://www.yelp.com/biz/better-you-wellness-chicago,,,no,
Brazilian Lymph Spa,,beauty and wellness,"645 N Michigan Ave, Fl 4 Ste 420",60611,Streeterville / Gold Coast,(773) 501-8969,http://www.brazilianlymphspa.com,,,,relax@brazilianlymphspa.com,@brazilianlymphspa,,unverified,boulevard,http://www.brazilianlymphspa.com,5,1091,no,"Founder-led lymphatic drainage spa (Val), celebrity clientele (Met Gala, Oscars, Victoria's Secret); 1,091 Google reviews at 5.0. About page mentions ""licensed massage therapists"" generically but names only founder Val, no countable roster found."
CC TRESSES OF BEAUTY,,hair salon,21 E Chestnut St,60611,Streeterville / Gold Coast,(312) 404-5171,,,,,,,,unverified,unknown,https://www.yelp.com/biz/cc-tresses-of-beauty-chicago,,,no,
California Nails,,nails,8 E Chestnut St,60611,Streeterville / Gold Coast,(312) 944-4790,,,,,,,,unverified,unknown,https://www.yelp.com/biz/california-nails-chicago-2,,,no,
Complexions,,nails,161 E Erie St,60611,Streeterville / Gold Coast,(312) 915-0084,,,,,,,,unverified,unknown,https://www.yelp.com/biz/complexions-chicago-2,,,no,
Concierge Medical Spa,,beauty and wellness,"100 E Walton, Ste 400",60611,Streeterville / Gold Coast,(630) 715-2853,http://www.conciergemedspa.com,,,,,@conciergemedspa,,unverified,unknown,http://www.conciergemedspa.com,4.8,146,yes (4),"Roster of 4 appears company-wide (yes (4)); per-location count unverified, source: http://www.conciergemedspa.com/about/; A gift-card link suggests square, but the Book button destination was not captured; roster spans multiple locations (Geneva, Barrington, Naperville, Chicago Gold Coast), could not isolate this address's headcount"
Danaii Day Spa,,beauty and wellness,"230 E Ohio St, Ste 410 1290",60611,Streeterville / Gold Coast,(773) 692-0233,,,,,,,,unverified,unknown,https://www.yelp.com/biz/danaii-day-spa-chicago,,,no,
Delle Amiche Salon,,hair salon,"980 N Michigan Ave, Ste 250",60611,Streeterville / Gold Coast,(312) 337-2665,http://www.delleamichesalon.com,,,,,@delleamiche,,unverified,vagaro,https://www.vagaro.com/googlemap/U2FsdGVkX1-yf4qciaiHU129AKwIebf37~Mysa8ggY8=/services?rwg_token=AE37R_jZsfFVGMOkfv2636lquCh6WsS_b0foSBp-AXyPhAaMXZgT8A9Ri9q1qpRU-RnXskFiH1Mh1oe-u_xnI3haKrjZKqQd-Q%3D%3D,5,29,no,
Endermologie Chicago,,beauty and wellness,"106 E Oak St, Ste 200",60611,Streeterville / Gold Coast,,http://www.endermologiechicago.com,,,,,@endermologie_chicago,,unverified,unknown,http://www.endermologiechicago.com,,,no,"Website content appears to describe the Northbrook location ('at TERRA Salon and SPA'), not a Chicago-specific roster."
Fantasy Nails,,nails,46 E Chicago Ave,60611,Streeterville / Gold Coast,(312) 664-0012,,,,,,,,unverified,unknown,https://www.yelp.com/biz/fantasy-nails-chicago,3.9,143,no,Family-owned since 1998; doubled shop size in 2015
Image Beauty Bar,,lash and brow,323 E Ontario St,60611,Streeterville / Gold Coast,(312) 266-1323,,,,,,,,unverified,unknown,https://www.yelp.com/biz/image-beauty-bar-chicago,,,no,
Irra BEAUTY,,lash and brow,500 N Lake Shore Dr,60611,Streeterville / Gold Coast,,,,,,,,,unverified,unknown,https://www.yelp.com/biz/irra-beauty-chicago,,,no,
Lash Out Chicago,,lash and brow,605 N Michigan Ave,60611,Streeterville / Gold Coast,(773) 593-0002,,,,,,,,unverified,unknown,https://www.yelp.com/biz/lash-out-chicago-chicago-2,4.5,8,no,
Lisa's Nail Salon,,nails,"50 E Oak St, Ste 1W",60611,Streeterville / Gold Coast,(312) 787-3838,,,,,,,,unverified,unknown,https://www.yelp.com/biz/lisas-nail-salon-chicago,4.5,65,no,
Lynette's Healing Hands,,beauty and wellness,"605 N Michigan Ave, Fl 4",60611,Streeterville / Gold Coast,(773) 782-1433,,,,,,,,unverified,unknown,https://www.yelp.com/biz/lynettes-healing-hands-chicago-5,4.4,65,no,"Website (benchmarkchicago.com) resolves to an unrelated Old Town sports bar at a different address, mismatched source, not usable evidence for this massage/waxing business; Website listed on Yelp (benchmarkchicago.com) looks like a different business; removed"
Mireille's Studio,,beauty and wellness,"49 E Oak St, Fl 3",60611,Streeterville / Gold Coast,(312) 587-8727,http://www.mireillesstudio.com,Mireille Hamon,owner,,,@mireillesstudio,,unverified,booker,https://go.booker.com/location/mireillesstudio,4.9,38,yes (2),Operates 2 locations (Gold Coast + Winnetka); founder Mireille Hamon was the Oprah Winfrey Show's makeup artist from 1991-2011.
Modern Waxing,,lash and brow,"34 E Oak St, Fl 6",60611,Streeterville / Gold Coast,(773) 331-6437,http://modernwaxing.com,,,,,,,unverified,setmore,http://modernwaxing.setmore.com,4.8,26,no,
Nail Perfection and Foot Spa,,nails,436 E Grand Ave,60611,Streeterville / Gold Coast,(312) 643-8584,,,,,,,,unverified,unknown,https://www.yelp.com/biz/nail-perfection-and-foot-spa-chicago,4.6,695,no,Strong review base (695 Google reviews)
Nailacarte - Streeterville,,nails,160 E Grand Ave,60611,Near North Side,(312) 766-7137,http://www.nailacarte.com/streeterville,,,,info@nailacarte.com,@nailacarte,,unverified,unknown,http://www.nailacarte.com/streeterville,4.8,203,yes (5),"A gift-card link suggests zenoti, but the Book button destination was not captured; 5 Chicago locations (West Loop, Wicker Park, River North, Gold Coast, Streeterville)"
Nancy Angelair Salon,,hair salon,1009 N Rush St,60611,Streeterville / Gold Coast,(312) 943-3011,http://www.nancyangelairsalon.com,,,,,@nancyangelairsalon,,unverified,unknown,http://www.nancyangelairsalon.com,4.4,25,no,
Natural Hair Growth Solutions,,hair salon,"980 N Michigan Ave, Ste 1230",60611,Streeterville / Gold Coast,(847) 945-2000,,,,,,,,unverified,unknown,https://www.yelp.com/biz/natural-hair-growth-solutions-chicago,1,2,no,
NoMI Spa,,beauty and wellness,800 N Michigan Ave,60611,Streeterville / Gold Coast,(312) 239-4200,,,,,,,,unverified,unknown,https://www.yelp.com/biz/nomi-spa-chicago,5,8,no,Website listed on Yelp (hyatt.com) looks like a different business; removed
Oaks Massage Therapy,,beauty and wellness,"505 N Lake Shore Dr, Ste 204",60611,Streeterville / Gold Coast,(312) 522-2802,http://www.oaksmassagetherapy.com,,,,,,,unverified,vagaro,https://www.vagaro.com/oaksmassagetherapyllc/services,5,12,no,
One 100 Chicago Salon,,hair salon,323 E Ontario St,60611,Streeterville / Gold Coast,(312) 643-1010,http://www.One100Chicago.com,,,,info@one100chicago.com,@one100chicagosalon,,unverified,unknown,http://www.One100Chicago.com,4,127,no,Billed as Streeterville's #1 Salon 4 years running (2022-2025); actively hiring.
Ori Massage Spa,,beauty and wellness,327 E Ontario St,60611,Streeterville / Gold Coast,(312) 643-0931,https://www.orispa.com/chicago/327-e-ontario-street,,,,,@byorispa,,unverified,booker,https://go.booker.com/brand/pausemassagebrand/locations,4.8,281,yes (2),Hiring (per website); female-owned small business (per IG bio); 2 locations per IG bio (708 N Dearborn St + this 327 E Ontario St address)
Paul Rehder Salon,,nails,"70 E Walton, Fl 3",60611,Streeterville / Gold Coast,(312) 943-7404,http://paulrehdersalon.com,,,,,@paulrehdersalon,,unverified,none,http://paulrehdersalon.com,4.6,73,yes (2),"Roster of 3 appears company-wide (yes (2)); per-location count unverified, source: http://paulrehdersalon.com/about/; roster spans 2 locations (Chicago + Winnetka per IG bio), not distinguished by location"
Peachy,,beauty and wellness,875 N Rush St,60611,Streeterville / Gold Coast,(312) 912-8261,https://peachystudio.com/pages/gold-coast,,,,hello@peachystudio.com,@peachystudio,,unverified,boulevard,https://sandbox.joinblvd.com/api/2020-01/,5,361,yes (6),"Hiring (per website); Multi-city chain (NY, Chicago, DC, Atlanta, Austin, Charlotte); site refers only to generic 'Peachy Providers' (board-certified Nurse Practitioners), no names given for the Gold Coast location."
Polish and Pour - Streeterville,,nails,401 E Ontario St,60611,Streeterville / Gold Coast,(312) 643-3100,http://www.polishandpour.com,,,,,@polishandpour,,unverified,meevo,https://login.meevo.com/PolishandPour/ob?locationId=202659,4.2,296,yes (2),
Purebeauty Salon and Spa,,hair salon,"835 N Michigan Ave, Fl 4, Macy's",60611,Streeterville / Gold Coast,(312) 335-7622,https://www.purebeauty.com/locations/purebeauty-macys-water-tower,,,,,,,unverified,unknown,https://www.purebeauty.com/locations/purebeauty-macys-water-tower/,,,no,
RESTORE HAIR,,beauty and wellness,"875 N Michigan Ave, Fl 31",60611,Streeterville / Gold Coast,(866) 488-9356,http://www.RestoreHair.com,,,,,,,unverified,acuity,http://www.RestoreHair.com,5,3,yes (5),"Roster of 6 appears company-wide (yes (5)); per-location count unverified, source: http://www.RestoreHair.com/team; Hiring (per website); AMBIGUOUS: this is a national franchise (Restoration Holdings LLC), the 6 named doctors are described as serving affiliated locations across Chicago, Charlotte NC, Dallas TX, Denver CO & NYC, not necessarily all at this one Chicago Michigan Ave suite. Count given per multi-location rule but likely overcounts staff physically at this address."
Rejuva Skin Care,,beauty and wellness,845 N Michigan Ave,60611,Streeterville / Gold Coast,(512) 870-8183,,,,,,,,unverified,unknown,https://www.yelp.com/biz/rejuva-skin-care-chicago,,,no,
Ricardo Santiago Salon,,hair salon,"34 E Oak St, Fl 5",60611,Streeterville / Gold Coast,(312) 933-1199,http://www.ricardosantiago.com,,,,,,,unverified,unknown,http://www.ricardosantiago.com,,,no,"AMBIGUOUS CASE: website domain has lapsed and is listed for sale via GoDaddy; no Instagram, no Google rating/reviews at all. Suggests the business may be defunct, but no source directly states 'closed' so exclude_reason left null per the never-guess rule."
Salon 161,,hair salon,161 E Erie St,60611,Streeterville / Gold Coast,(312) 943-4122,,,,,,,,unverified,unknown,https://www.yelp.com/biz/salon-161-chicago,4.4,37,no,
Salon Distefano,,hair salon,405 N Wabash Ave,60611,Streeterville / Gold Coast,(312) 527-0232,,,,,,,,unverified,unknown,https://www.yelp.com/biz/salon-distefano-chicago-2,3.3,8,no,
Sara Nail,,nails,162 E Ohio St,60611,Streeterville / Gold Coast,(312) 244-9443,,,,,,,,unverified,unknown,https://www.yelp.com/biz/sara-nail-chicago,,,no,
Skin Deep Anti-Aging Spa,,beauty and wellness,"200 E Walton Pl, Unit 5",60611,Streeterville / Gold Coast,(888) 380-7546,,,,,,,,unverified,unknown,https://www.yelp.com/biz/skin-deep-anti-aging-spa-chicago,,,no,
Skin Specific,,beauty and wellness,845 N Michigan Ave,60611,Streeterville / Gold Coast,(312) 380-9420,,,,,,,,unverified,unknown,https://www.yelp.com/biz/skin-specific-chicago,,,no,
Spa At Four Seasons Hotel,,beauty and wellness,120 E Delaware Pl,60611,Streeterville / Gold Coast,(312) 280-8800,http://www.fourseasons.com/chicagofs/spa.html,,,,,@fschicago,,unverified,unknown,http://www.fourseasons.com/chicagofs/spa.html,4.2,31,yes (count unknown),"Hiring (per website); Team pages found only named meetings/events staff (Conference Services, Catering Directors), not spa service providers."
Spa O Nails & More,,nails,240 E Illinois St,60611,Streeterville / Gold Coast,(312) 871-2121,,,,,,,,unverified,boulevard,https://www.joinblvd.com/b/spa-o-club/widget#/visit-type,4.6,280,no,Website listed on Yelp (spaoclub.com) looks like a different business; removed
Spatini,,beauty and wellness,"207 E Ohio St, Ste 320",60611,Streeterville / Gold Coast,(773) 418-4163,,Rendy Nelson,owner,,,,,unverified,unknown,https://www.yelp.com/biz/spatini-chicago-2,,,no,
Sport Clips Haircuts of Chicago - River North,,hair salon,"44 E Superior St, Ste 1",60611,Streeterville / Gold Coast,(312) 496-3792,https://sportclips.com/us-il-chicago-il207,,,,,@sportclipshaircuts,,unverified,unknown,https://sportclips.com/us-il-chicago-il207?utm_source=yelp&utm_medium=referral,4.7,493,yes (count unknown),"Actively hiring; walk-ins only, no appointments (uses proprietary Online Check In queue, not appointment booking)"
Streeterville Alternative Medicine,,beauty and wellness,"233 E Erie, Ste 716",60611,Streeterville / Gold Coast,(312) 924-3743,,,,,,,,unverified,unknown,https://www.yelp.com/biz/streeterville-alternative-medicine-chicago,,,no,
Sugaring NYC - Chicago,,lash and brow,"645 N Michigan Ave, Ste 420",60611,Streeterville / Gold Coast,(888) 647-8427,,,,,,,,unverified,unknown,https://www.yelp.com/biz/sugaring-nyc-chicago-chicago-2,,,yes (count unknown),
Tao of Brow,,lash and brow,"67 E Oak St, Fl 5",60611,Streeterville / Gold Coast,(312) 208-8780,http://www.blow-by-blow.com,,,,,,,unverified,booker,http://go.booker.com\location\blowbyblow2,5,2,no,"source's website/team_page/booking fields point to an unrelated salon ('blow by blow' in Highwood, IL) - disregarded as a data mismatch; verdict based only on Yelp business history/specialties"
The M Studio,,beauty and wellness,70 E Oak St,60611,Streeterville / Gold Coast,(312) 649-1510,http://www.vistaprint.in,,,,,@vistaprintindia,,unverified,unknown,http://www.vistaprint.in/,,,no,Hiring (per website); Scraped 'team pages' data appears to be from an unrelated site (VistaPrint); no evidence collected for this business
The Med Spa Streeterville,,beauty and wellness,"676 N St Clair St, Ste 1575",60611,Streeterville / Gold Coast,(312) 266-6240,,Neil Fine,owner,,,,,unverified,unknown,https://www.yelp.com/biz/the-med-spa-streeterville-chicago,4.5,51,yes (2),"Roster of 8 appears company-wide (yes (2)); per-location count unverified, source: https://northwesternplastics.com/med-spa-team; Med Spa team roster spans both Streeterville and River North locations, not split by location; Website listed on Yelp (northwesternplastics.com) looks like a different business; removed"
The Spa at Trump,,beauty and wellness,401 N Wabash Ave,60611,Near North Side,(312) 588-8020,https://www.trumphotels.com/chicago/spa/chicago-spa-services,,,,tch_spa@trumphotels.com,@trumphotels,,unverified,unknown,https://www.trumphotels.com/chicago/spa/chicago-spa-services,4.1,130,no,careers page shows active hiring
The Waldorf Astoria Spa,,beauty and wellness,11 E Walton St,60611,Streeterville / Gold Coast,(312) 646-1310,,,,,,,,unverified,unknown,https://www.yelp.com/biz/the-waldorf-astoria-spa-chicago-2,4.6,105,no,"Forbes-rated, award-winning spa (per Yelp specialties); Website listed on Yelp (hilton.com) looks like a different business; removed"
Tricoci Salon & Spa - Chicago,,beauty and wellness,900 Michigan Ave,60611,Streeterville / Gold Coast,(847) 202-1900,https://www.tricoci.com/pages/chicago,,,,,,,unverified,zenoti,https://mariotricoci.zenoti.com/temp_data/tempassetstore/e16b87c7-1193-4526-961a-96e42468e5ed/customassetupload/b17a4261-1fb8-4c76-9ee1-0334c1ebd626.png,4.3,693,yes (13),Hiring (per website); Established 40+ years; chain operates 13 Chicago-area locations; Strong review base (693 Google reviews)
Vickies Nail Salon,,nails,7 E Superior St,60611,Streeterville / Gold Coast,(312) 787-8878,http://vickiesnails.com,,,,vickiesnail@gmail.com,,,unverified,unknown,http://vickiesnails.com/,4.1,307,no,"Large single-location nail spa, 18 pedicure chairs + 25 manicure tables in ~3,000 sq ft, next to Holy Name Cathedral."
Yesenia Saad Modern Health & Beauty,,lash and brow,"980 N Michigan Ave, Ste 1379",60611,Streeterville / Gold Coast,(312) 300-0435,https://yeseniasaad.com,Yesenia Saad,owner,,,,,unverified,unknown,https://yeseniasaad.com,4.6,82,no,
Zazu Salon,,hair salon,64 E Walton St,60611,Streeterville / Gold Coast,(312) 573-8088,http://www.zazusalons.com,,,,,@zazusalons,,unverified,zenoti,https://zazusalons.zenoti.com/webstoreNew/services,4.6,172,yes (7),"Luxury salon chain since 1979 with 7 destinations incl. this Gold Coast location (est. 2012). Booking software listed as Zenoti, but Google's booking link points to a Fresha listing for this location, worth confirming current software before pitching."
Viva La Med Spa,1,beauty and wellness,1657 N Wells St,60614,Lincoln Park,(312) 971-5915,http://vivalamedspa.com,,,,info@vivalamedspa.com,@vivalamedspa,15,https://vivalamedspa.com/about-vivalamedspa/,unknown,http://vivalamedspa.com,4.7,549,yes (2),15-person injector/aesthetician team at this Old Town location alone; 2nd location in Buffalo Grove; 4.7 rating over 549 Google reviews
Salon 1800,1,hair salon,1962 N Clybourn Ave,60614,Lincoln Park,(773) 929-6010,http://www.salon1800lp.com,Lisa Lally Kerman,owner,,salon1800@gmail.com,@salon1800,14,http://www.salon1800lp.com/team,unknown,http://www.salon1800lp.com,4.2,354,no,"A gift-card link suggests meevo, but the Book button destination was not captured; Recently relocated to a new space on Clybourn after 35+ years in Lincoln Park."
Reflektion Salon,1,hair salon,2734 N Clark St,60614,Lincoln Park,(773) 666-5477,http://www.reflektionsalon.com,,,,info@reflektionsalon.com,@reflektionsalon,13,http://www.reflektionsalon.com/team,vagaro,https://www.vagaro.com/Users/BusinessWidget.aspx?enc=MMLjhIwJMcwFQhXLL7ifVDvwIE9eEVECAshLfZs+oKQlLUqmr3Vo7d/BXg6i7V+y8Z1oIhjNhEuF/3/IPzdeB1Szlyo2cro/fp7QqWfc+fZzZbFgIWX0EaiM1wegIFDQNj1olFbXfXlxqqq0MlDsBTqW783vluCZgxFwKYEm2wnz7JP70VRMK58KkqnZSlKftqdekjYp4EcFqMPBjynZror9nApPlZMTS6H5/hhM8PWbamZ5PvLODExkHy/RnXQPUOQ8uzTiNmbHUZxUjZx9GkKM984a/T/L+SINAS38YXovTmsmH8vtrKckTsrpJ3da5eFtX2LBaaoXikoL/b3v5P+A2spDGI05Ph5j6RM01D3/g1dX9vcVSRGuShqgbCh3RKegCclKY5BLlwk+6mK5NlDR0b/9tn8sg+Gh9LdqWuVcQpOhOH+9A+rHuxZoVcHpuBj/EOicsrF4syfCTz8H0uQ5/jS4tRgqL93mCH/Orc83HaiS2aUsLaCMNInzdhj28GBPhv6ZSEJfp2HRSBPWhA==,4.9,401,yes (2),
Salon Glow Chicago,1,hair salon,2766 N Lincoln Ave,60614,Lincoln Park,(773) 327-7200,http://www.salonglowchicago.com,Brittany Bella Morgan,owner,,,@askforbella,12,https://www.salonglowchicago.com/glowteam,boulevard,https://www.joinblvd.com/b/salonglowchicago/widget#/visit-type,4.9,286,no,"Founded Oct 2012 by Bella; team page says they ""continue to grow our salon, staff and skills"" and website_hiring flag is true."
Mitchell & Co,1,hair salon,2558 N Southport Ave,60614,Lincoln Park,(773) 281-3330,http://www.mitchellandcosalon.com,Bobbi Mitchell,co-owner,kiona@mitchellandcosalon.com,kiona@mitchellandcosalon.com,@mitchellco_chicago,9,http://www.mitchellandcosalon.com/team/,phorest,https://phorest.com/book/salons/mitchellandco#/,4.9,141,no,"Woman/LGBTQ-owned family salon founded 2015 by married co-owners Bobbi & Kiona Mitchell; 4.9★ reviews name individual stylists (Rachel, Connie, Pamela) for personalized service; Co-owner: Kiona Mitchell"
Eclipse Salon Chicago,1,hair salon,1010 W Diversey Pkwy Storefront,60614,Lincoln Park,(630) 430-8405,http://eclipsesalon-chicago.com,,,,andre@eclipsesalon-chicago.com,,8,http://eclipsesalon-chicago.com/team,fresha,https://www.fresha.com/lvp/eclipse-salon-west-diversey-parkway-chicago-3oQgR8,,,no,"Existing Fresha user, payments-attach conversation?; actively hiring stylists (booth-rental positions open)"
Isaac Crawford Salon,1,hair salon,1130 W Diversey Pkwy,60614,Lincoln Park,(773) 857-0465,http://www.isaaccrawfordsalon.com,Isaac Crawford,owner,,,@isaaccrawfordsalon,8,http://www.isaaccrawfordsalon.com/team/,phorest,https://www.phorest.com/salon/isaaccrawfordsalon?utm_source=ig&utm_medium=social&utm_content=link_in_bio,,,no,"Currently hiring (Join Our Team page live); salon est. 2022; reviews call out individual stylists by name (Mykol, Olyvia, Jorge, Danji)."
Lavender Park,1,hair salon,2537 N Sheffield Ave,60614,Lincoln Park,(773) 248-8211,http://www.lavenderparksalon.com,,,,info@lavenderparksalon.com,@lavenderparksalon,8,http://www.lavenderparksalon.com/lincoln-park-team,boulevard,https://dashboard.boulevard.io/booking/businesses/e0ca1e37-21c3-4869-855c-bd085e573a46/widget#/locations,4.8,180,yes (2),Actively hiring (careers page live).
Ricci Kapricci Fullerton,1,hair salon,1416 W Fullerton Ave,60614,Lincoln Park,(773) 477-1050,https://www.riccikapricci.com/fullerton-location,Silvio Mato,owner,,riccikapricci1@gmail.com,@riccikapricci.salon,8,https://www.riccikapricci.com/fullerton-location,phorest,https://phorest.com/book/salons/riccikapriccisalon,4.8,263,yes (3),
Emmett Rodé Salon,1,hair salon,"1940 N Lincoln Ave, Ground Floor",60614,Lincoln Park,(773) 750-7726,http://www.emmettrode.com,,,,cpientka10@gmail.com,@emmettrodesalon,7,http://www.emmettrode.com#team,unknown,http://www.emmettrode.com,,,no,Stylists appear to book independently (one uses vagaro); no shared salon booking tool confirmed; Actively hiring independent stylists (site + IG: '#chicagosalonhiring')
Salon Shiloh,1,hair salon,1967 N Halsted St,60614,Lincoln Park,(312) 265-1513,http://Salonshiloh.com,Tracy Kucia Podesta,owner,,info@salonshiloh.com,@salonshilohchicago,7,http://Salonshiloh.com/team,phorest,https://phorest.com/book/salons/salonshiloh,5,133,no,Actively hiring (dedicated Careers page live on site)
Lincoln Park Hair Salon,1,hair salon,507 / 509 West Dickens Ave,60614,Lincoln Park,(847) 868-0011,https://www.lpsalonandspa.com,Tania Gilbert,owner,,info@lpsalonandspa.com,@lincolnparkhairsalon,6,https://www.lpsalonandspa.com/stylists,unknown,https://www.lpsalonandspa.com,4.9,677,no,Owner Tania Gilbert was awarded Best Makeup and Hair Expert by Bridal Beauty of Illinois; Strong review base (677 Google reviews)
Stranded Beauty & Barber,1,hair salon,2517 N Halsted St,60614,Lincoln Park,(312) 883-7570,http://www.strandedchicago.com,Kristin Klein,owner,,,@strandedchicago,6,http://www.strandedchicago.com/stylists,unknown,http://www.strandedchicago.com,4.7,58,no,One stylist books independently via glossgenius (https://kristinklein.glossgenius.com); the salon itself may not have a shared booking tool; Salon collective since 2015; each stylist independently bookable via own page (e.g. Kristin Klein on GlossGenius).
